"user_id","pw","name","gender","birthday","tel"
artsfk,artsfk,artsfk,m,"2007-04-01 00:00:00.0","010-1111-1111"
biklonz,biklonz,biklonz,m,"2007-04-01 00:00:00.0","010-1111-1111"
cook1,cook,하루한끼,f,"1990-09-30 00:00:00.0","010-3333-3333"
cook10,cook,고기남자,m,"1992-11-03 00:00:00.0","010-3333-3333"
cook2,cook,쿠킹트리,m,"1985-01-20 00:00:00.0","010-3333-3333"
cook3,cook,제인,f,"1993-03-11 00:00:00.0","010-3333-3333"
cook4,cook,UDT,m,"1991-12-28 00:00:00.0","010-3333-3333"
cook5,cook,Yonam,m,"1983-07-08 00:00:00.0","010-3333-3333"
cook6,cook,승우아빠,m,"1979-10-25 00:00:00.0","010-3333-3333"
cook7,cook,산적,m,"1977-02-09 00:00:00.0","010-3333-3333"
cook8,cook,백종원,m,"1970-07-12 00:00:00.0","010-3333-3333"
cook9,cook,릿쭈,m,"1992-11-29 00:00:00.0","010-3333-3333"
game1,game,문호준,m,"1990-09-30 00:00:00.0","010-3333-3333"
game10,game,뜨뜨,m,"1990-09-30 00:00:00.0","010-3333-3333"
game2,game,김종인,m,"1990-09-30 00:00:00.0","010-3333-3333"
game3,game,박재현,m,"1990-09-30 00:00:00.0","010-3333-3333"
game4,game,잠뜰,m,"1990-09-30 00:00:00.0","010-3333-3333"
game5,game,김왼팔,m,"1990-09-30 00:00:00.0","010-3333-3333"
game6,game,김성태,m,"1990-09-30 00:00:00.0","010-3333-3333"
game7,game,이상혁,m,"1990-09-30 00:00:00.0","010-3333-3333"
game8,game,김레인,f,"1990-09-30 00:00:00.0","010-3333-3333"
game9,game,미라클,m,"1990-09-30 00:00:00.0","010-3333-3333"
kyjun92,"5437536",김영준,m,"1992-11-03 00:00:00.0","010-4512-8432"
larva,larva,larva,m,"2007-04-01 00:00:00.0","010-1111-1111"
pinkfong,pinkfong,pinkfong,m,"2007-04-01 00:00:00.0","010-1111-2222"
pororo,pororo,pororo,m,"2007-04-01 00:00:00.0","010-1111-1111"
sweettv,sweettv,sweettv,m,"2007-04-01 00:00:00.0","010-1111-1111"
tayo,tayo,tayo,m,"2007-04-01 00:00:00.0","010-1111-1111"
thekydstv,thekydstv,thekydstv,m,"2007-04-01 00:00:00.0","010-1111-1111"
